大类 ID,大类名称，英文名称，细分情绪，细分英文，定义描述，历史典故，红楼梦案例，西游记案例，水浒传案例，三国演义案例
joy,【喜】欢愉与希望，Joy & Hope,欣喜，Delight,意外的微小快乐，杜甫《闻官军收河南河北》,刘姥姥进大观园，悟空得知弼马温是个官职，梁山泊好汉初聚义，刘备得遇孔明
joy,【喜】欢愉与希望，Joy & Hope,狂喜，Ecstasy,极度的、难以自持的快乐，范进中举，宝玉失玉复得，师徒四人取得真经，智取生辰纲成功，曹操大胜袁绍
joy,【喜】欢愉与希望，Joy & Hope,欣慰，Gratification,付出后得到回报的满足，孔子赞颜回，贾政见宝玉作诗，观音见悟空改邪归正，宋江见众兄弟归心，刘备托孤见刘禅
joy,【喜】欢愉与希望，Joy & Hope,庆幸，Relief,躲过灾祸后的喜悦，完璧归赵，巧姐遇救，唐僧躲过妖怪第一劫，林冲风雪山神庙幸存，赵云长坂坡救阿斗
joy,【喜】欢愉与希望，Joy & Hope,自豪，Pride,因成就而产生的光荣感，霍去病封狼居胥，元春省亲，悟空大闹天宫自称齐天大圣，武松打虎后受赏，关羽水淹七军
joy,【喜】欢愉与希望，Joy & Hope,陶醉，Enchantment,沉浸于美好境界的忘我之乐，王羲之《兰亭集序》,湘云醉卧芍药裀，八戒在高老庄，鲁智深倒拔垂杨柳后饮酒，曹操横槊赋诗
joy,【喜】欢愉与希望，Joy & Hope,雀跃，Exuberance,活泼外放的兴奋，《诗经·子衿》,宝钗扑蝶，悟空学成归来，李逵初见宋江，曹植七步成诗前
joy,【喜】欢愉与希望，Joy & Hope,知足，Contentment,内心平静、无欲则安，陶渊明《归去来兮辞》,李纨守寡，沙僧流沙河悟道，公孙胜修道，诸葛亮躬耕南阳
joy,【喜】欢愉与希望，Joy & Hope,期待，Anticipation,对未来美好事物的向往，陆游《游山西村》,黛玉进府，唐僧出发取经，林冲发配前盼回家，三顾茅庐前
joy,【喜】欢愉与希望，Joy & Hope,释然，Liberation,放下包袱后的轻松愉悦，苏轼《定风波》,宝玉出家，悟空成佛，燕青隐退，姜维最后一搏前的解脱
anger,【怒】愤慨与力量，Anger & Indignation,愤怒，Anger,通用的生气状态，唐雎不辱使命，宝玉踢袭人，悟空三打白骨精被误解，鲁提辖拳打镇关西，张飞怒鞭督邮
anger,【怒】愤慨与力量，Anger & Indignation,暴怒，Rage,失去理智的极端爆发，秦始皇焚书坑儒，贾政毒打宝玉，悟空推倒人参果树，李逵沂岭杀四虎，曹操杀吕伯奢全家
anger,【怒】愤慨与力量，Anger & Indignation,愤慨，Indignation,针对不公义的道德性愤怒，岳飞《满江红》,晴雯被逐，悟空怒斥神仙纵奴，林冲火并王伦，祢衡击鼓骂曹
anger,【怒】愤慨与力量，Anger & Indignation,恼火，Annoyance,轻微的、因琐事引起的不快，《世说新语》,黛玉恼周瑞家的，唐僧恼悟空杀人，杨志恼卖刀牛二，周瑜恼孔明借箭
anger,【怒】愤慨与力量，Anger & Indignation,嫉恨，Jealous Rage,因嫉妒而生的怒火，周瑜既生瑜何生亮，赵姨娘害宝玉，六耳猕猴嫉恨悟空，王伦嫉恨林冲，庞德嫉恨关羽
anger,【怒】愤慨与力量，Anger & Indignation,震怒，Fury,上位者的雷霆之怒，武则天清洗，贾母震怒，玉帝怒派天兵，高俅怒逼王进，孙权怒摔酒杯
anger,【怒】愤慨与力量，Anger & Indignation,悲愤，Grief-anger,悲伤与愤怒交织，伍子胥鞭尸，黛玉焚稿，悟空见师父被抓，林冲雪夜上梁山，诸葛亮哭周瑜
anger,【怒】愤慨与力量，Anger & Indignation,愠怒，Resentment,压抑在心中未爆发的怒气，韩信受胯下之辱，探春对赵姨娘，白龙马忍辱负重，杨志失陷生辰纲，徐庶进曹营
anger,【怒】愤慨与力量，Anger & Indignation,狂躁，Irritation,焦躁不安引发的攻击性，张飞醉酒，夏金桂撒泼，八戒嚷嚷分行李，阎婆惜要挟宋江，魏延狂躁反骨
anger,【怒】愤慨与力量，Anger & Indignation,决绝之怒，Righteous Wrath,带有牺牲精神的愤怒，蔺相如怒发冲冠，鸳鸯抗婚，悟空誓死护师，阮氏三雄劫生辰纲，黄盖苦肉计
sorrow,【哀】悲痛与失落，Sorrow & Grief,悲伤，Sadness,基础的难过情绪，孔子获麟，黛玉葬花，唐僧思念母亲，林冲娘子自缢，徐庶别母
sorrow,【哀】悲痛与失落，Sorrow & Grief,悲痛，Grief,撕心裂肺的痛苦，霸王别姬，贾母哭黛玉，悟空哭唐僧，宋江哭晁盖，曹操哭典韦
sorrow,【哀】悲痛与失落，Sorrow & Grief,哀愁，Melancholy,淡淡的、持续的忧伤，李煜《虞美人》,秋窗风雨夕，女儿国国王送别，宋江浔阳楼题诗，曹植洛神赋
sorrow,【哀】悲痛与失落，Sorrow & Grief,绝望，Despair,彻底失去希望的死寂，屈原投江，司棋殉情，唐僧被困无底洞，杨志卖刀无路，马谡失街亭
sorrow,【哀】悲痛与失落，Sorrow & Grief,惋惜，Regret,对美好消逝的遗憾，诸葛亮病逝，众姐妹叹落花，悟空惜紧箍咒，吴用惜宋江，刘备惜庞统
sorrow,【哀】悲痛与失落，Sorrow & Grief,孤寂，Loneliness,无人理解的凄凉，柳宗元《江雪》,宝玉淋雨，悟空被逐回花果山，林冲草料场独饮，姜维死后蜀亡
sorrow,【哀】悲痛与失落，Sorrow & Grief,凄楚，Distress,悲惨且令人心酸，杜甫《石壕吏》,香菱学诗，比丘国小孩受苦，金翠莲啼哭，百姓流离
sorrow,【哀】悲痛与失落，Sorrow & Grief,缅怀，Mourning,对逝者的追忆，苏轼《江城子》,宝玉祭晴雯，唐僧祭父母，梁山祭晁盖，孔明祭先主
sorrow,【哀】悲痛与失落，Sorrow & Grief,幻灭，Disillusionment,理想破灭后的空虚，贾府被抄，万境归空，见如来前众生相，招安后兄弟凋零，三国归晋
sorrow,【哀】悲痛与失落，Sorrow & Grief,苍凉，Desolation,面对天地的宏大悲哀，陈子昂《登幽州台》,白茫茫大地，取经路漫漫，蓼儿洼荒凉，滚滚长江东逝水
amusement,【乐】趣味与安逸，Amusement & Serenity,愉悦，Pleasure,感官或精神的舒适，《兰亭集序》,芦雪庵联诗，蟠桃会，梁山泊大碗喝酒，铜雀台比武
amusement,【乐】趣味与安逸，Amusement & Serenity,诙谐，Amusement,被逗乐，觉得有趣，《滑稽列传》,刘姥姥逗笑，八戒逗悟空，王定六说笑，蒋干盗书
amusement,【乐】趣味与安逸，Amusement & Serenity,惬意，Coziness,悠闲自在的满足，苏轼《记承天寺》,宝玉酣睡，悟空花果山称王，阮小七捕鱼，卧龙冈午睡
amusement,【乐】趣味与安逸，Amusement & Serenity,调侃，Playfulness,轻松戏谑的心态，刘邦戏弄群臣，黛玉调侃宝钗，悟空调侃八戒，燕青调侃李师师，孔明调侃鲁肃
amusement,【乐】趣味与安逸，Amusement & Serenity,逍遥，Carefree,无拘无束的自由之乐，庄子《逍遥游》,柳湘莲，云游四海，公孙胜，左慈戏曹操
amusement,【乐】趣味与安逸，Amusement & Serenity,窃喜，Smugness,暗自高兴，略带狡黠，草船借箭，小红攀高枝，悟空偷丹，时迁偷鸡，庞统献连环计
amusement,【乐】趣味与安逸，Amusement & Serenity,恬淡，Tranquility,不争不抢的平和之乐，陶渊明《饮酒》,宝琴折梅，镇元大仙，罗真人，司马徽
amusement,【乐】趣味与安逸，Amusement & Serenity,惊喜，Surprise-Joy,意料之外的乐趣，萧何追韩信，宝玉收帖，得救兵，逢好汉，得良将
amusement,【乐】趣味与安逸，Amusement & Serenity,自嘲，Self-mockery,通过嘲笑自己获得解脱，苏轼《自题》,宝玉自称浊玉，八戒说自己笨，宋江自称罪人，曹操割须弃袍
amusement,【乐】趣味与安逸，Amusement & Serenity,会心，Understanding Smile,默契相视一笑，高山流水，宝黛共读，悟空气息相通，兄弟眼神，刘关张
fear,【惧】惊恐与敬畏，Fear & Awe,恐惧，Fear,面对具体威胁的害怕，秦舞阳色变，贾瑞照镜，唐僧怕妖，百姓怕官，汉献帝怕曹
fear,【惧】惊恐与敬畏，Fear & Awe,惊恐，Terror,极度惊吓，心理崩溃，四面楚歌，抄检大观园，见真身，见鬼怪，木牛流马
fear,【惧】惊恐与敬畏，Fear & Awe,畏惧，Dread,对权威的深层害怕，君子有三畏，怕王夫人，怕观音，怕宋江，怕司马懿
fear,【惧】惊恐与敬畏，Fear & Awe,惊慌，Panic,混乱无序的逃跑冲动，风声鹤唳，贾府被抄，小妖乱窜，官兵溃败，赤壁火烧
fear,【惧】惊恐与敬畏，Fear & Awe,疑惧，Apprehension,因不确定产生的担忧，曹操杀吕伯奢，黛玉忧心，真假悟空，林冲防暗算，空城计
fear,【惧】惊恐与敬畏，Fear & Awe,战栗，Trembling,生理性的发抖恐惧，秦廷之威，金荣跪地，小妖见大圣，泼皮见鲁达，夏侯杰吓死
fear,【惧】惊恐与敬畏，Fear & Awe,敬畏，Awe,面对神圣的谦卑之惧，孔子叹老子，祭宗祠，见如来，拜九天玄女，祭天地
fear,【惧】惊恐与敬畏，Fear & Awe,心悸，Horror,心理极度不适，惠帝见人彘，秦可卿托梦，地狱景象，活剥人皮，左慈显圣
fear,【惧】惊恐与敬畏，Fear & Awe,怯懦，Cowardice,因害怕而不敢行动，见义不为，迎春懦弱，八戒退缩，洪教头，刘璋投降
fear,【惧】惊恐与敬畏，Fear & Awe,梦魇，Nightmare,潜意识中的深层恐惧，晋景公梦大厉，赵姨娘中魔，唐僧噩梦，宋江梦玄女，曹操梦三马
love,【爱】深情与眷恋，Love & Affection,慈爱，Compassion,长辈对晚辈的关爱，孟母三迁，贾母爱宝玉，观音爱悟空，宋江爱兄弟，刘备爱民
love,【爱】深情与眷恋，Love & Affection,热恋，Passion,激烈的男女之情，凤求凰，宝黛互诉，女儿国情，阎婆惜张文远，吕布戏貂蝉
love,【爱】深情与眷恋，Love & Affection,依恋，Attachment,难舍难分的依赖，霸王别姬，紫鹃试忙，白马恋主，李逵恋宋江，赵云恋主
love,【爱】深情与眷恋，Love & Affection,倾慕，Adoration,对他人才华的仰慕，弟子赞孔子，香菱慕黛玉，国王慕唐僧，燕青慕李师师，周瑜慕小乔
love,【爱】深情与眷恋，Love & Affection,怜惜，Tenderness,对弱者的爱护心疼，漂母饭信，宝玉替平儿理妆，悟空救小孩，鲁达救金氏，曹操惜关羽
love,【爱】深情与眷恋，Love & Affection,挚爱，Devotion,坚定不移的深爱，尾生抱柱，黛玉还泪，唐僧取经，宋江忠义，关羽忠汉
love,【爱】深情与眷恋，Love & Affection,友爱，Friendship,志同道合的情谊，桃园结义，湘云宝钗，师兄弟，梁山泊，桃园三结义
love,【爱】深情与眷恋，Love & Affection,博爱，Universal Love,对众生的宏大爱意，范仲淹，宝玉有情，普度众生，替天行道，仁政
love,【爱】深情与眷恋，Love & Affection,相思，Longing,爱而不得的深切思念，王维《相思》,红豆曲，女王夜思，林冲念妻，甄宓思曹植
love,【爱】深情与眷恋，Love & Affection,守护，Protectiveness,愿意为爱牺牲自我，程婴救孤，小红照顾，悟空护师，燕青救主，典韦护曹
disgust,【恶】厌恶与鄙夷，Disgust & Contempt,厌恶，Disgust,通用的反感情绪，论语乡原，妙玉嫌刘姥姥，悟空嫌脏，好汉嫌贪官，祢衡嫌俗人
disgust,【恶】厌恶与鄙夷，Disgust & Contempt,鄙夷，Contempt,看不起，认为低劣，燕雀安知，黛玉鄙夷仕途，神仙嫌凡夫，林冲鄙夷小人，关羽鄙夷孙权
disgust,【恶】厌恶与鄙夷，Disgust & Contempt,憎恨，Hatred,强烈的敌意，伍子胥鞭尸，贾环恨宝玉，妖魔恨行者，林冲恨高俅，刘备恨曹操
disgust,【恶】厌恶与鄙夷，Disgust & Contempt,嫌弃，Revulsion,不愿接近的排斥，亭长妻嫌韩信，王夫人嫌晴雯，八戒嫌累，潘金莲嫌武大，曹操嫌祢衡
disgust,【恶】厌恶与鄙夷，Disgust & Contempt,愤懑，Abhorrence,对不公的深恶痛绝，屈原《离骚》,尤三姐控诉，车迟国恨道，武松恨西门庆，吉平恨曹
disgust,【恶】厌恶与鄙夷，Disgust & Contempt,轻蔑，Scorn,傲慢地看不起，关羽虎女，凤姐轻蔑贾瑞，大圣轻蔑天兵，武松轻蔑蒋门神，张飞轻蔑严颜
disgust,【恶】厌恶与鄙夷，Disgust & Contempt,作呕，Nausea,极度生理性厌恶，惠帝见人彘，贾赦强娶，见妖怪吃人，见孙二娘包子，见董卓尸体
disgust,【恶】厌恶与鄙夷，Disgust & Contempt,唾弃，Spurning,像吐口水一样抛弃，后人唾弃秦桧，众人唾弃贾雨村，百姓唾弃妖道，百姓唾弃高俅，后人唾弃吕布
disgust,【恶】厌恶与鄙夷，Disgust & Contempt,忌惮，Loathing with Fear,既讨厌又害怕，曹操忌惮刘备，凤姐忌惮尤二姐，妖怪忌惮悟空，官府忌惮梁山，曹操忌惮关羽
disgust,【恶】厌恶与鄙夷，Disgust & Contempt,寒心，Chill,因背叛而心冷，韩信叹走狗烹，宝玉寒心，悟空寒心被逐，林冲寒心，徐庶寒心
surprise,【惊】震撼与错愕，Surprise & Shock,惊讶，Surprise,普通的意外感，鱼腹藏书，刘姥姥见玻璃，见变化，见武艺，见奇谋
surprise,【惊】震撼与错愕，Surprise & Shock,震惊，Shock,巨大的心理冲击，四面楚歌，宝玉听说黛玉回苏，见真佛，见招安诏，见八十万大军
surprise,【惊】震撼与错愕，Surprise & Shock,错愕，Bewilderment,因意外而发呆，空城计，贾政听诗，悟空被识破，李逵见母虎，庞统见落凤坡
surprise,【惊】震撼与错愕，Surprise & Shock,骇然，Alarm,被吓到的惊讶，画皮揭皮，秦可卿死，见骷髅，见人头，见左慈
surprise,【惊】震撼与错愕，Surprise & Shock,惊叹，Wonder,对奇迹的赞叹，核舟记，叹宝琴，叹神通，叹神力，叹诸葛
surprise,【惊】震撼与错愕，Surprise & Shock,恍悟，Realization,突然明白真相，萧何追韩信，宝玉悟禅，悟空悟道，宋江悟天书，徐庶悟母意
surprise,【惊】震撼与错愕，Surprise & Shock,呆滞，Stunned,惊讶到失去反应，黛玉听闻婚讯，黛玉呆傻，唐僧呆坐，武松呆立，曹操呆望
surprise,【惊】震撼与错愕，Surprise & Shock,诧异，Curiosity-Surprise,感到奇怪并探究，圯上敬履，宝钗诧异，八戒诧异，燕青诧异，孔明诧异
surprise,【惊】震撼与错愕，Surprise & Shock,惊魂，Frightened Surprise,受惊后的余悸，荆轲刺秦王，宝玉被打后，唐僧脱险后，林冲逃后，刘备摔阿斗后
surprise,【惊】震撼与错愕，Surprise & Shock,颠覆，Paradigm Shift,世界观被彻底打破，王侯将相宁有种乎，贾府被抄，见灵山，梁山被招安，三国归晋